penn_baxter_left_traj8138 train_eps_00000626.npz
penn_baxter_left_traj8586 train_eps_00073425.npz
berkeley_sawyer_traj11106 train_eps_00048645.npz
berkeley_sawyer_traj51174 train_eps_00033392.npz
penn_kuka_traj280 train_eps_00009916.npz
penn_baxter_left_traj5926 train_eps_00032047.npz
berkeley_sawyer_traj53008 train_eps_00018524.npz
berkeley_widowx_traj1295 train_eps_00068643.npz
berkeley_sawyer_traj32785 train_eps_00053636.npz
berkeley_sawyer_traj11013 train_eps_00037394.npz
berkeley_sawyer_traj17840 train_eps_00023818.npz
berkeley_sawyer_traj29821 train_eps_00041876.npz
berkeley_sawyer_traj61853 train_eps_00033651.npz
berkeley_sawyer_traj17894 train_eps_00058453.npz
berkeley_sawyer_traj4409 train_eps_00039503.npz
stanford_franka_traj2094 train_eps_00024560.npz
penn_baxter_right_traj4705 train_eps_00002799.npz
berkeley_widowx_traj2241 train_eps_00032767.npz
berkeley_sawyer_traj41714 train_eps_00048283.npz
penn_baxter_left_traj1220 train_eps_00018780.npz
berkeley_sawyer_traj41550 train_eps_00048678.npz
berkeley_sawyer_traj22431 train_eps_00080404.npz
berkeley_sawyer_traj37939 train_eps_00044162.npz
berkeley_sawyer_traj42619 train_eps_00024064.npz
berkeley_sawyer_traj28569 train_eps_00002693.npz
berkeley_sawyer_traj65466 train_eps_00037868.npz
berkeley_sawyer_traj23887 train_eps_00006243.npz
penn_baxter_right_traj5640 train_eps_00044033.npz
penn_kuka_traj623 train_eps_00057234.npz
berkeley_sawyer_traj21134 train_eps_00043682.npz
berkeley_sawyer_traj37232 train_eps_00016263.npz
stanford_franka_traj3127 train_eps_00068381.npz
berkeley_sawyer_traj63985 train_eps_00069324.npz
berkeley_sawyer_traj17800 train_eps_00006680.npz
berkeley_sawyer_traj12690 train_eps_00021381.npz
berkeley_sawyer_traj3245 train_eps_00002779.npz
berkeley_sawyer_traj19453 train_eps_00072140.npz
berkeley_sawyer_traj5693 train_eps_00062615.npz
berkeley_sawyer_traj43345 train_eps_00029570.npz
berkeley_sawyer_traj21071 train_eps_00017017.npz
berkeley_sawyer_traj31086 train_eps_00082255.npz
berkeley_sawyer_traj23151 train_eps_00042579.npz
berkeley_sawyer_traj41042 train_eps_00013182.npz
penn_baxter_right_traj1617 train_eps_00019546.npz
penn_baxter_right_traj4566 train_eps_00041326.npz
berkeley_sawyer_traj27088 train_eps_00082722.npz
berkeley_sawyer_traj36710 train_eps_00017980.npz
berkeley_sawyer_traj43959 train_eps_00020851.npz
stanford_franka_traj3451 train_eps_00079571.npz
berkeley_sawyer_traj31437 train_eps_00046645.npz
stanford_franka_traj4416 train_eps_00047161.npz
penn_baxter_right_traj6331 train_eps_00013597.npz
berkeley_sawyer_traj60253 train_eps_00036756.npz
berkeley_sawyer_traj40787 train_eps_00042930.npz
penn_baxter_left_traj8114 train_eps_00054883.npz
berkeley_sawyer_traj52971 train_eps_00000117.npz
penn_baxter_left_traj6199 train_eps_00043287.npz
berkeley_sawyer_traj20279 train_eps_00002405.npz
penn_baxter_right_traj6426 train_eps_00003309.npz
stanford_franka_corr_noise_traj198 train_eps_00067246.npz
berkeley_widowx_traj4044 train_eps_00037756.npz
berkeley_sawyer_traj39449 train_eps_00042691.npz
berkeley_widowx_traj2562 train_eps_00016330.npz
penn_baxter_right_traj7197 train_eps_00014827.npz
berkeley_sawyer_traj32815 train_eps_00080193.npz
penn_baxter_right_traj7420 train_eps_00000465.npz
penn_baxter_right_traj4936 train_eps_00030907.npz
penn_baxter_left_traj4976 train_eps_00023327.npz
stanford_franka_traj3242 train_eps_00041766.npz
berkeley_sawyer_traj54985 train_eps_00072249.npz
berkeley_sawyer_traj4821 train_eps_00039154.npz
stanford_franka_traj2636 train_eps_00019817.npz
berkeley_sawyer_traj49031 train_eps_00033889.npz
berkeley_sawyer_traj58194 train_eps_00080782.npz
berkeley_widowx_traj2436 train_eps_00017417.npz
berkeley_sawyer_traj37021 train_eps_00043005.npz
penn_baxter_right_traj6955 train_eps_00027180.npz
berkeley_sawyer_traj37074 train_eps_00050422.npz
berkeley_sawyer_traj8734 train_eps_00009740.npz
berkeley_sawyer_traj58462 train_eps_00055306.npz
berkeley_sawyer_traj63314 train_eps_00001818.npz
penn_baxter_right_traj1971 train_eps_00069705.npz
berkeley_sawyer_traj48888 train_eps_00055013.npz
stanford_franka_corr_noise_traj1103 train_eps_00051908.npz
berkeley_sawyer_traj16653 train_eps_00048529.npz
penn_baxter_left_traj9219 train_eps_00007436.npz
penn_baxter_right_traj5753 train_eps_00014778.npz
berkeley_sawyer_traj28804 train_eps_00011527.npz
berkeley_sawyer_traj29070 train_eps_00035092.npz
berkeley_sawyer_traj20962 train_eps_00024557.npz
stanford_franka_corr_noise_traj523 train_eps_00006353.npz
berkeley_sawyer_traj38141 train_eps_00057981.npz
berkeley_sawyer_traj32517 train_eps_00026065.npz
berkeley_sawyer_traj59011 train_eps_00038071.npz
berkeley_sawyer_traj4480 train_eps_00012440.npz
berkeley_sawyer_traj28110 train_eps_00040244.npz
berkeley_sawyer_cornoise_traj12 train_eps_00024552.npz
berkeley_sawyer_traj8888 train_eps_00063282.npz
penn_baxter_left_traj7622 train_eps_00054000.npz
berkeley_sawyer_traj33775 train_eps_00031416.npz
berkeley_sawyer_traj43499 train_eps_00049975.npz
stanford_franka_traj3114 train_eps_00008727.npz
penn_baxter_right_traj3913 train_eps_00033511.npz
berkeley_widowx_traj2319 train_eps_00044957.npz
penn_baxter_left_traj2741 train_eps_00073332.npz
stanford_franka_traj1260 train_eps_00051135.npz
penn_baxter_right_traj2397 train_eps_00035103.npz
berkeley_sawyer_traj42248 train_eps_00026173.npz
penn_baxter_left_traj5490 train_eps_00028909.npz
berkeley_sawyer_traj3798 train_eps_00056198.npz
berkeley_sawyer_traj5364 train_eps_00055633.npz
berkeley_sawyer_traj12778 train_eps_00013180.npz
berkeley_sawyer_traj56182 train_eps_00059654.npz
penn_baxter_left_traj3531 train_eps_00049481.npz
penn_baxter_left_traj1305 train_eps_00064883.npz
berkeley_sawyer_traj2714 train_eps_00027567.npz
berkeley_sawyer_traj45679 train_eps_00065484.npz
berkeley_sawyer_traj15030 train_eps_00030655.npz
stanford_franka_traj4007 train_eps_00057152.npz
berkeley_sawyer_traj13240 train_eps_00004187.npz
berkeley_sawyer_traj42592 train_eps_00008357.npz
penn_kuka_traj1456 train_eps_00013676.npz
